Model,Make,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway
Macan S,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37415,4700.0,19.0,0.0,0.0,22.7,0.0,0.0,0.0,17.2,21.4471,31.698699999999995
Macan GTS,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37416,4700.0,19.0,0.0,0.0,22.8,0.0,0.0,0.0,17.0,21.1925,31.8
Cayenne S,Porsche,2017,ICE,6.0,3.6,Automatic (S8),37417,5333.333333333333,20.0,0.0,0.0,24.3,0.0,0.0,0.0,16.9,21.1,34.1
Cayenne GTS,Porsche,2017,ICE,6.0,3.6,Automatic (S8),37418,5333.333333333333,19.0,0.0,0.0,22.600000000000005,0.0,0.0,0.0,16.3,20.2,31.600000000000005
911 Turbo,Porsche,2017,ICE,6.0,3.8,Automatic (AM-S7),37424,3830.8823529411766,21.0,0.0,0.0,23.8,0.0,0.0,0.0,18.6,23.4,33.4
911 Turbo Cabriolet,Porsche,2017,ICE,6.0,3.8,Automatic (AM-S7),37425,3830.8823529411766,21.0,0.0,0.0,23.8,0.0,0.0,0.0,18.6,23.3,33.3
911 Turbo S,Porsche,2017,ICE,6.0,3.8,Automatic (AM-S7),37426,3830.8823529411766,21.0,0.0,0.0,23.8,0.0,0.0,0.0,18.6,23.4,33.4
911 Turbo S Cabriolet,Porsche,2017,ICE,6.0,3.8,Automatic (AM-S7),37427,3830.8823529411766,21.0,0.0,0.0,23.8,0.0,0.0,0.0,18.6,23.3,33.3
Fusion FWD,Ford,2017,ICE,4.0,2.5,Automatic 6-spd,37429,3970.833333333333,25.0,0.0,0.0,31.5051,0.0,0.0,0.0,20.8906,26.5,45.3417
Sonata Limited,Hyundai,2017,ICE,4.0,2.0,Automatic (S6),37431,3836.5384615384614,24.0,0.0,0.0,30.1602,0.0,0.0,0.0,21.1786,26.899999999999995,43.20000000000001
Sonata,Hyundai,2017,ICE,4.0,2.4,Automatic (S6),37432,3836.5384615384614,29.0,0.0,0.0,36.4206,0.0,0.0,0.0,25.175699999999996,32.5631,53.3537
Sonata Sport Limited,Hyundai,2017,ICE,4.0,2.4,Automatic (S6),37433,3836.5384615384614,28.0,0.0,0.0,34.8562,0.0,0.0,0.0,24.650500000000005,31.793899999999997,50.74620000000001
Macan Turbo,Porsche,2017,ICE,6.0,3.6,Automatic (AM-S7),37434,4700.0,19.0,0.0,0.0,23.1776,0.0,0.0,0.0,16.6254,20.6947,32.3997
NSX Hybrid,Acura,2017,HEV,6.0,3.5,Automatic (AM-S9),37436,4250.0,21.0,0.0,0.0,21.7131,0.0,0.0,0.0,21.0,28.7,30.2
911 Carrera,Porsche,2017,ICE,6.0,3.0,Manual 7-spd,37437,3830.8823529411766,23.0,0.0,0.0,29.1,0.0,0.0,0.0,19.9,25.1,41.6
911 Carrera,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37438,3830.8823529411766,25.0,0.0,0.0,29.5,0.0,0.0,0.0,22.1,28.2,42.2
