level_0,Model,Make,Year,AdjWeight,match_index,baseModel,displ,cylinders,trany,comb08,combinedUF,combE,highway08,city08,UCity,UHighway,atvType,rangeHwyA,RangeHwy,Range,MFRCode,VehicleID
97.0,Civic,Honda,2000,2796.875,1866.0,civic,1.6,4.0,Automatic 4-spd,27,0.0,0.0,32,24,30.6,44.4,ICE,0.0,0.0,0,,97
98.0,Civic,Honda,2000,2796.875,1866.0,civic,1.6,4.0,Manual 5-spd,30,0.0,0.0,33,27,35.06,46.9023,ICE,0.0,0.0,0,,98
100.0,Civic HX,Honda,2000,2718.75,1867.0,civic,1.6,4.0,Automatic (variable gear ratios),31,0.0,0.0,35,29,37.4895,48.9549,ICE,0.0,0.0,0,,100
101.0,Civic HX,Honda,2000,2718.75,1867.0,civic,1.6,4.0,Manual 5-spd,33,0.0,0.0,39,30,38.6946,55.0218,ICE,0.0,0.0,0,,101
102.0,Prelude,Honda,2000,3375.0,1874.0,prelude,2.2,4.0,Automatic 4-spd,21,0.0,0.0,24,19,23.2931,33.9482,ICE,0.0,0.0,0,,102
103.0,Prelude,Honda,2000,3375.0,1874.0,prelude,2.2,4.0,Manual 5-spd,22,0.0,0.0,25,20,24.7,34.3,ICE,0.0,0.0,0,,103
104.0,Tiburon,Hyundai,2000,3062.5,1880.0,tiburon,2.0,4.0,Automatic 4-spd,22,0.0,0.0,28,19,23.9608,38.6472,ICE,0.0,0.0,0,,104
105.0,Tiburon,Hyundai,2000,3062.5,1880.0,tiburon,2.0,4.0,Manual 5-spd,24,0.0,0.0,29,21,26.105,40.6658,ICE,0.0,0.0,0,,105
106.0,XK8,Jaguar,2000,4250.0,1896.0,xk8,4.0,8.0,Automatic 5-spd,18,0.0,0.0,23,16,20.0,31.4987,ICE,0.0,0.0,0,,106
107.0,XKR,Jaguar,2000,3611.1111111111113,1898.0,xkr,4.0,8.0,Automatic 5-spd,17,0.0,0.0,21,15,18.2454,28.9862,ICE,0.0,0.0,0,,107
108.0,SC,Lexus,2000,2781.25,1859.0,sc,3.0,6.0,Automatic 4-spd,19,0.0,0.0,22,17,20.7499,30.1225,ICE,0.0,0.0,0,,108
109.0,SC,Lexus,2000,2781.25,1859.0,sc,4.0,8.0,Automatic 5-spd,19,0.0,0.0,23,16,20.4467,31.7186,ICE,0.0,0.0,0,,109
110.0,SC,Saturn,2000,2781.25,1859.0,sc,1.9,4.0,Automatic 4-spd,27,0.0,0.0,33,23,29.6014,46.6121,ICE,0.0,0.0,0,,110
111.0,SC,Saturn,2000,2781.25,1859.0,sc,1.9,4.0,Manual 5-spd,29,0.0,0.0,36,25,31.5068,51.302,ICE,0.0,0.0,0,,111
