Unnamed: 0,alph_index,Material_x,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,CH4,N2O,CO2,"CO2 (VOC, CO, CO2)",GHGs,Material_y,ICEV: Conventional Material,ICEV: Lightweight Material,HEV: Conventional Material,HEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,EV: Conventional Material,EV: Lightweight Material,FCV: Conventional Material,FCV: Lightweight Material
23,bf,PTFE,0.433174915213633,2.1286654586676512,4.738855201922599,0.7009117858381154,0.404304310398739,2.7828033556811613,0.0352612764143827,0.0568698385350552,7.008959487848304,0.0842408989174424,3413.021808099307,3417.716915639153,3649.581673781494,PTFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021244438804929,0.0017197390222446
24,bu,Graphite,0.5618982927581901,18.423879931045537,1.9260701433798089,0.2511250621804372,0.1527103309037304,1.011786979773425,0.0127764583652952,0.0349416863420322,83.83711578368656,0.0370037680547868,1593.897263881266,1624.6003248805769,4133.0484039133935,Carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002259274577227,0.0001828884579206
25,cb,Silicon,6.942012659357121,25.189640844821152,42.15235581595926,7.429220469618408,3.702808398578673,45.37307565857307,0.2063515440456154,0.5233837989573104,109.24798958803076,1.2847975347957212,50098.36840561126,50159.58806639383,53765.927883116376,Silicon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888367507243,0.000726139899476
26,ce,Nylon 6,0.4851457964864794,4.523830536795981,7.183177668782951,0.4373178888847811,0.2337418181499158,1.7545200497897613,0.0232384876269401,0.0485474877582783,9.55019036798243,4.079639633035241,3007.909630245873,3016.5305445360777,4414.867837320575,Methacrylate ester resin,0.0,0.0,2.7625500461964883e-05,2.027214838843486e-05,4.215699251822441e-05,2.9191221862459132e-05,0.0001210964174323,8.750704292237861e-05,5.4862722098535335e-05,5.8386874334021965e-05
27,cf,Epoxy resin,0.5191172618254598,2.2182710665239416,3.627513091269928,3.372391614281609,0.501739784100301,1.5408420320311642,0.0221567840684731,0.0500488494794826,9.92192413090802,0.0793090040038912,2526.9070133592504,2532.010783358382,2849.335480552503,Epoxy resin,0.0,0.0,0.000244009855251,0.0002010734943007,0.0003296016559879,0.0002407111600131,0.0009333739251322,0.0007305614344924,0.0004585960872851,0.0004880543854587
28,cg,Nd(Dy)FeB magnet,3.1575928917650717,7.43170873392849,9.572811663664012,10.708905679783916,2.293613863956155,13.757457449054488,0.0482881058930418,0.1127835464673148,33.63365865378065,1.6702228819731872,11571.120912239458,11592.640476191158,13050.8943508525,Enamel,0.0,0.0,0.0001190021558361,8.732617767325786e-05,0.0001524137421812,0.0001055374944258,0.0004284950155297,0.0003096403057253,0.0001983498414331,0.0002110910072076
29,ch,Alumina,0.0632617020199856,0.2613632345621727,0.6455315279708834,0.0240113737812656,0.0206482234842162,0.1112020164716104,0.0033796469752049,0.0076611139351116,1.001934326206004,0.0096493783942346,413.9516727248569,414.5595520171312,447.0514752396962,Alumina,0.0,0.0,3.929781336618417e-05,3.96e-05,4.528297879642954e-05,4.25e-05,0.0001533887954142,0.0001716,9.56580795564206e-05,0.000101802755249
30,ci,Gold,4.819826520798464,21.47507059891055,45.25331398840595,8.313471840326143,3.6436606645973417,57.284360477160185,0.1721885176947917,0.3003014353578538,86.56379256280651,1.1629357124896649,54439.99165404313,54488.75998621219,57385.84245409351,Gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,cj,Zinc oxide,0.250931100982814,0.993326870084268,2.56916127921708,1.1765031348204416,0.5785040269103895,2.043565390995988,0.0164501056924651,0.0273928744776532,4.352207602547325,0.0404802667433651,2740.8326015145626,2743.175612337044,2883.9225117138926,Others,0.004556736145467,0.0227103093074726,0.0048256847917118,0.0221950522855151,0.004492310439533,0.020432948276019,0.0065418619308306,0.024216020333118,0.0089640601967938,0.0289156114113292
32,ck,Polyurethane,0.4610967213004428,3.236869687726569,1.8382600243093636,0.1873144163454711,0.0970150880330356,6.210952488333358,0.0146897830056528,0.0251952016014217,9.10328169272216,0.0415326953114164,1267.5255607842498,1274.0491550749207,1556.665375338058,Polyurethane,0.0,0.0,0.0002929473360024,0.0002952,0.0003912449368011,0.0003672,0.0012448090704773,0.0013926,0.0007910187347934,0.000841830476098
33,cl,Paint,0.0274138561450468,0.0806375425409563,0.1311988159821793,0.0174279750323118,0.0105831965313588,0.1060924891408956,0.0007418465747618,0.0026870928220892,0.3689214200267038,0.0030722902160768,142.24844260556495,142.46059859549572,154.29319214128046,Paint/Varnish,0.0,0.0,0.0001402525408068,0.000102920137972,0.0001264709775546,8.75736655873774e-05,0.0003539741432637,0.0002557898177731,0.0001645881662956,0.000175160623002
