,alph_index,Material,     VOC,     CO,     NOx ,     PM10,     PM2.5,     SOx,     BC,     OC,     CH4,     N2O,     CO2,"     CO2 (VOC, CO, CO2)",     GHGs
59,bh,NMC(442): Coprecipitation,1.8923982868132343,7.182244820596364,12.64717461529942,5.419882824110757,1.6570758419124434,39.71551939723226,0.10764980504841057,0.22338491026036525,19.4816317965013,0.1808690589773907,8794.920236659855,8812.104596038502,9442.03447667507
60,bi,NMC(111): Coprecipitation,1.9137296511235062,7.209500291239816,12.652088272120471,7.587986193321681,1.8408357188380906,36.76589833175661,0.11556468856824215,0.2282055349991801,20.15694137637722,0.18577747269818617,9020.494091605733,9037.787763761777,9689.181866824423
61,bj,NMC(532): Coprecipitation,2.066778844741468,7.855098532080757,13.917532731337696,5.492507193267015,1.685394447292733,48.28749189043479,0.115390686371598,0.23862105424903446,20.647196127401227,0.19539767385487986,9299.459076973133,9318.244263970608,9986.874273529545
62,bk,NMC(622): Coprecipitation,2.19542810146568,8.353893878263033,14.857726536137891,5.331136434417751,1.6729442307135158,54.720621854545726,0.12061972103863898,0.24972335926945188,21.478437356685397,0.20582073777556403,9655.833091096833,9675.80305620272,10372.049550844673
63,bl,NMC(811): Coprecipitation,2.5692651439879515,9.413852323455263,17.843048149724513,3.726148085803558,1.6091132115351268,69.14878710816457,0.14301416337493264,0.3103733280449977,24.229580297491946,0.2436199585423917,10750.234670582502,10773.035410122884,11561.585151670217
64,bm,Recycled NMC(111): Coprecipitation,1.2547901127559213,4.725636264271661,8.264884354466624,1.0743186903676365,0.7433582793704446,8.609350854533128,0.0712583351070808,0.1745430042289873,16.22855991657531,0.1339689787724817,7152.708112355205,7164.0448747171495,7684.229491435982
65,bn,LMR-NMC:Solid State,1.9844744533190697,5.188588804236774,9.206626096910004,6.246874234223611,2.0559778524293315,24.23608968661184,0.16080729761489684,0.3448469931352009,12.069879730093449,0.08882480491592624,5980.362257613054,5994.700699684938,6378.632287383771
66,bo,LFP: Hydrothermal,0.8050070272308415,2.873321256862023,6.596840170403148,0.9006193896947752,0.6812319854953819,5.89484905866055,0.07718447706772337,0.16214890969184476,8.525258182328486,0.07475887201718089,4002.9446577386734,4009.9688154248024,4284.430681318882
67,bp,LFP: Solid State,0.7897757204580662,1.8320295674167517,3.901328934521647,0.7694732841778539,0.572446714347387,5.94678505172314,0.0412064924155243,0.08508741907200765,4.765811424227471,0.025847634601934878,2016.2150785725041,2021.555449840539,2170.633034528846
68,bq,LCO: Hydrothermal,2.022512409444074,7.385731885555126,13.9007380573994,18.271616307141908,2.7855807646667143,23.094472169814665,0.17368648311981036,0.2922113528217601,24.05138186101987,0.224081805526538,10325.508011789638,10343.417658904946,11121.323171272083
69,br,LCO: Solid State,2.182368382586748,6.704157727588322,11.295849048334592,18.135175251927706,2.662292870326773,21.837615542567516,0.1438936947207147,0.22239935620995488,20.89065290413888,0.17239194418752787,9072.794235986476,9090.131055779366,9759.7355130859
70,bs,NCA,3.329119444511074,10.393005357448176,18.641169769314633,4.586248583503185,1.6864736746499671,71.19125346091548,0.15154035324223705,0.3238352164757058,27.752613118769762,0.256827719641468,11338.264129068742,11364.971750232506,12262.113588633965
71,bt,NMP,0.9427766548144969,1.991413907904253,2.2446124572024932,0.12075804823575477,0.11009390057752234,0.546096912292471,0.015647284330578003,0.0404944511539872,8.897633744555515,0.05535015655912306,2019.8150141914352,2025.8826994780281,2306.142777806423
72,bu,Graphite,0.5618982927581901,18.423879931045537,1.9260701433798086,0.25112506218043723,0.15271033090373048,1.0117869797734247,0.012776458365295236,0.034941686342032235,83.83711578368656,0.037003768054786876,1593.897263881266,1624.6003248805769,4133.0484039133935
73,bv,PVDF,0.14658892496023707,0.5841223775281353,0.9325692223236942,0.0969551927090735,0.06333247871261664,0.47509466983235266,0.006156501792325968,0.01886935998298474,2.4960165112949007,0.02440125322297807,958.1750779897145,959.5498533990991,1040.5926875655603
74,bw,LiPF6,0.5988271373111793,2.0859849879326786,4.438143528011774,0.5995855154418135,0.34891857647685665,8.831705856512905,0.022966464713666524,0.09691809270766329,10.029800499670754,0.09732992792510092,4768.6118373037725,4773.756158291334,5099.215283505075
75,bx,Ethylene Carbonate,0.05377905535957338,0.10742156543230326,0.1505610959086367,0.010366120951358469,0.008146622069035898,0.06324347551087521,0.000828260735769017,0.0027181833675345092,0.6034948587392103,0.002644616934590607,149.70924346141942,150.04566016773134,168.75178738130305
76,by,Dimethyl Carbonate,0.19787721451466675,0.4018770832976096,0.562177766705147,0.038195254500933626,0.030285948348643014,0.23015239656038952,0.0031499639946226034,0.010205315380407075,2.2352959282133513,0.010047615121763843,555.6874573419014,556.9356957913684,626.2905133803678
77,bz,BMS,1.488898020137934,5.683026439467784,9.20026440546471,1.0596290488218558,0.6546139969686767,5.72504403570117,0.053425229698280875,0.19517715372856845,25.811039431209,0.24816859439888025,10501.55236950992,10515.123238458513,11352.042239779435
