Model,Make,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08,rangeHwyA,RangeHwy,Range,city08,UCity,UHighway,battery_assembly,battery_manufacture,vehicle_manufacture,total_embodied,usage,total
Nubira,Daewoo,2000,ICE,4.0,2.0,Manual 5-spd,95,3250.0,23.0,0.0,0.0,28.0,0.0,0.0,0.0,20.0,24.8,39.7436,0.0,60000.0,5113322.7020668555,6681522.7020668555,82386327.61118262,89067850.31324947
Neon,Dodge,2000,ICE,4.0,2.0,Automatic 3-spd,96,2875.0,24.0,0.0,0.0,28.0,0.0,0.0,0.0,22.0,27.5,39.7,0.0,60000.0,4523323.92875145,6091523.92875145,79455588.6843026,85547112.61305405
Neon,Dodge,2000,ICE,4.0,2.0,Manual 5-spd,97,2875.0,27.0,0.0,0.0,31.0,0.0,0.0,0.0,24.0,31.4,44.3,0.0,60000.0,4523323.92875145,6091523.92875145,72180480.92326234,78272004.8520138
Contour,Ford,2000,ICE,4.0,2.0,Automatic 4-spd,98,3262.5,23.0,0.0,0.0,28.0,0.0,0.0,0.0,19.0,24.3991,39.8356,0.0,60000.0,5132989.327844036,6701189.327844036,83934296.18842822,90635485.51627226
Contour,Ford,2000,ICE,4.0,2.0,Manual 5-spd,99,3262.5,25.0,0.0,0.0,31.0,0.0,0.0,0.0,21.0,26.9697,43.1192,0.0,60000.0,5132989.327844036,6701189.327844036,75857599.76274928,82558789.09059332
Contour,Ford,2000,ICE,6.0,2.5,Automatic 4-spd,100,3262.5,21.0,0.0,0.0,26.0,0.0,0.0,0.0,18.0,22.5,36.3,0.0,60000.0,5132989.327844036,6701189.327844036,89742249.71932393,96443439.04716797
Contour,Ford,2000,ICE,6.0,2.5,Manual 5-spd,101,3262.5,21.0,0.0,0.0,27.0,0.0,0.0,0.0,18.0,22.5287,37.2291,0.0,60000.0,5132989.327844036,6701189.327844036,87591563.99620287,94292753.32404691
Escort,Ford,2000,ICE,4.0,2.0,Automatic 4-spd,102,2875.0,26.0,0.0,0.0,31.0,0.0,0.0,0.0,22.0,28.4,43.5,0.0,60000.0,4523323.92875145,6091523.92875145,74590960.80567184,80682484.7344233
Escort,Ford,2000,ICE,4.0,2.0,Manual 5-spd,103,2875.0,27.0,0.0,0.0,32.0,0.0,0.0,0.0,24.0,30.5,45.0,0.0,60000.0,4523323.92875145,6091523.92875145,70782619.49693154,76874143.42568299
Focus,Ford,2000,ICE,4.0,2.0,Automatic 4-spd,104,3005.208333333333,26.0,0.0,0.0,30.0,0.0,0.0,0.0,23.0,29.1772,42.2234,0.0,60000.0,4728184.61393041,6296384.61393041,74868766.99116781,81165151.60509822
