Model_y,Make_y,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway
XT6 FWD,Cadillac,2023,ICE,6.0,3.6,Automatic (S9),45371,4875.0,21.0,0.0,0.0,25.7372,0.0,0.0,0.0,18.5604,23.3012,36.2978
XT5 FWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45372,4680.555555555556,24.0,0.0,0.0,29.2741,0.0,0.0,0.0,22.0,29.0,41.8
XT6 FWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45373,4875.0,23.0,0.0,0.0,27.4208,0.0,0.0,0.0,21.2505,27.0,38.9
Blazer FWD,Chevrolet,2023,ICE,6.0,3.6,Automatic 9-spd,45374,4375.0,22.0,0.0,0.0,26.8407,0.0,0.0,0.0,19.1406,24.0915,38.0
Kona FWD,Hyundai,2023,ICE,4.0,1.6,Automatic (AM-S7),45375,3677.777777777778,32.0,0.0,0.0,34.6314,0.0,0.0,0.0,29.42,38.8,50.4
Envision AWD,Buick,2023,ICE,4.0,2.0,Automatic (S9),45376,4125.0,25.0,0.0,0.0,29.0,0.0,0.0,0.0,22.48,28.7203,42.2001
XT5 AWD,Cadillac,2023,ICE,6.0,3.6,Automatic (S9),45377,4680.555555555556,21.0,0.0,0.0,25.365,0.0,0.0,0.0,18.1842,22.7909,35.7267
XT6 AWD,Cadillac,2023,ICE,6.0,3.6,Automatic (S9),45378,4875.0,21.0,0.0,0.0,24.8246,0.0,0.0,0.0,17.9691,22.5,34.9
XT4 AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45379,4125.0,24.0,0.0,0.0,29.0,0.0,0.0,0.0,22.48,28.7203,42.2001
XT5 AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45380,4680.555555555556,23.0,0.0,0.0,27.0,0.0,0.0,0.0,21.0,27.6381,39.304
XT6 AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45381,4875.0,23.0,0.0,0.0,26.0,0.0,0.0,0.0,21.0,27.6381,39.304
Blazer AWD,Chevrolet,2023,ICE,6.0,3.6,Automatic 9-spd,45382,4375.0,21.0,0.0,0.0,25.6735,0.0,0.0,0.0,18.7066,23.5,36.2
Traverse FWD,Chevrolet,2023,ICE,6.0,3.6,Automatic 9-spd,45384,4750.0,21.0,0.0,0.0,27.0988,0.0,0.0,0.0,18.117,22.7,38.4
Acadia FWD,GMC,2023,ICE,6.0,3.6,Automatic 9-spd,45385,4541.666666666666,22.0,0.0,0.0,26.8407,0.0,0.0,0.0,19.1406,24.0915,38.0
Traverse AWD,Chevrolet,2023,ICE,6.0,3.6,Automatic 9-spd,45388,4750.0,20.0,0.0,0.0,24.9515,0.0,0.0,0.0,17.0,21.9953,35.0939
Acadia AWD,GMC,2023,ICE,6.0,3.6,Automatic 9-spd,45389,4541.666666666666,21.0,0.0,0.0,25.6735,0.0,0.0,0.0,18.7066,23.5,36.2
Levante Modena,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45391,5250.0,18.0,0.0,0.0,21.626,0.0,0.0,0.0,15.5613,19.28,30.07
Levante GT,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45392,5250.0,18.0,0.0,0.0,21.626,0.0,0.0,0.0,15.5613,19.28,30.07
Levante Modena V8,Maserati,2023,ICE,8.0,3.8,Automatic 8-spd,45393,5250.0,16.0,0.0,0.0,19.5576,0.0,0.0,0.0,13.4955,16.57,26.36
Levante Trofeo,Maserati,2023,ICE,8.0,3.8,Automatic 8-spd,45394,5250.0,16.0,0.0,0.0,19.5576,0.0,0.0,0.0,13.4955,16.57,26.36
Z,Nissan,2023,ICE,6.0,3.0,Manual 6-spd,45399,3916.666666666667,20.0,0.0,0.0,24.134,0.0,0.0,0.0,18.1909,22.8,33.8482
Z,Nissan,2023,ICE,6.0,3.0,Automatic (S9),45400,3916.666666666667,22.0,0.0,0.0,28.0463,0.0,0.0,0.0,19.0,25.1237,39.8745
A3,Audi,2023,HEV,4.0,2.0,Automatic (AM-S7),45401,3687.5,32.0,0.0,0.0,37.8418,0.0,0.0,0.0,28.4953,36.9,53.4
A3 quattro,Audi,2023,HEV,4.0,2.0,Automatic (AM-S7),45402,3687.5,30.0,0.0,0.0,34.694,0.0,0.0,0.0,26.9361,33.8,49.2
Camaro,Chevrolet,2023,ICE,6.0,3.6,Automatic (S10),45403,4130.952380952381,22.0,0.0,0.0,28.7561,0.0,0.0,0.0,18.3273,22.9849,40.9857
Legacy AWD,Subaru,2023,ICE,4.0,2.5,Automatic (AV-S8),45404,3937.5,30.0,0.0,0.0,35.113,0.0,0.0,0.0,26.8517,34.9948,51.1893
Legacy AWD,Subaru,2023,ICE,4.0,2.4,Automatic (AV-S8),45405,3937.5,26.0,0.0,0.0,31.208,0.0,0.0,0.0,23.1504,29.6664,44.8668
