,Unnamed: 0,VehicleID_x,Year_x,MFRCode,Make,Model,Range,RangeHwy,atvType,UHighway,UCity,city08U,highway08U,VehicleID_y,Year_y,CurbWeight,embodied_emissions,usage_emissions,total_emissions
186,186,46051,2023,HNX,honda,civic 4dr,0,0.0,ICE,62.1,44.0943,32.8942,41.6035,146,2023.0,2976.972972972973,5050828.056976307,59699491.823,64750319.8799763
187,187,46052,2023,HNX,honda,civic 4dr,0,0.0,ICE,56.5,41.2,31.0089,38.3105,146,2023.0,2976.972972972973,5050828.056976307,55486256.476,60537084.532976314
188,188,46053,2023,HNX,honda,civic 4dr,0,0.0,ICE,56.3,35.8,27.4002,37.0,146,2023.0,2976.972972972973,5050828.056976307,51771798.578,56822626.63497631
189,189,46054,2023,HNX,honda,civic 4dr,0,0.0,ICE,55.1,40.0,30.2174,37.4747,146,2023.0,2976.972972972973,5050828.056976307,54193763.14299999,59244591.199976295
190,190,46067,2023,TYX,toyota,rav4,0,0.0,ICE,50.7,34.9,26.7869,34.8146,401,2023.0,3450.0,5743075.798680192,49430422.267000005,55173498.0656802
191,191,46068,2023,TYX,toyota,rav4,0,0.0,ICE,50.1728,35.8884,27.4603,34.4925,401,2023.0,3450.0,5743075.798680192,49629833.442,55372909.240680195
192,192,46069,2023,HNX,acura,rdx awd,0,0.0,ICE,39.0,27.2,21.3942,27.4851,6,2023.0,4052.0,6624068.039493373,39199753.719000004,45823821.75849338
193,193,46070,2023,HNX,acura,rdx awd a-spec,0,0.0,ICE,38.3945,26.4413,20.8483,25.8195,7,2023.0,4087.0,6675288.518610418,37359333.132,44034621.65061042
194,194,46076,2023,TYX,toyota,rav4 awd trd offroad,0,0.0,ICE,45.7,32.1,24.8563,31.7289,402,2023.0,3660.0,6050398.673382464,45365515.56600001,51415914.23938247
195,195,46079,2023,TYX,toyota,venza awd,0,0.0,HEV,51.9846,54.4603,40.047,37.0298,407,2023.0,3860.0,5733260.45064802,60813540.868,66546801.31864802
196,196,46085,2023,PRX,porsche,911 gt3 touring,0,0.0,ICE,25.4,18.5,14.9703,18.4653,338,2023.0,3263.0,5469412.09596912,26761177.71,32230589.80596912
197,197,46086,2023,PRX,porsche,911 gt3 touring,0,0.0,ICE,25.9,17.1,13.9018,18.0,338,2023.0,3263.0,5469412.09596912,25594034.202000007,31063446.297969125
198,198,46113,2023,PRX,porsche,911 targa 4 gts,0,0.0,ICE,31.6,21.6,17.3012,22.0,339,2023.0,3796.0,6249426.8208086975,31502672.468000006,37752099.2888087
199,199,46114,2023,PRX,porsche,911 targa 4 gts,0,0.0,ICE,34.0,20.7,16.0,23.0,339,2023.0,3796.0,6249426.8208086975,31446370.000000004,37695796.8208087
200,200,46118,2023,PRX,porsche,911 turbo s,0,0.0,ICE,28.9,19.0,15.3495,20.0,340,2023.0,3635.0,6013812.616870289,28368705.055,34382517.67187029
201,201,46119,2023,PRX,porsche,911 turbo s cabriolet,0,0.0,ICE,28.5,18.2,14.7421,20.0,341,2023.0,3790.0,6240646.167245775,27935695.669,34176341.836245775
